,Coefficients
func_dec: llsec,0.34419522221674625
func_dec: ihost,0.3441079587130566
func_dec: clkgate,0.3440499758860059
func_dec: awrq,0.34402932459057145
func_dec: wap,0.34402932459057145
func_dec: clnt,0.34357046438548816
func_dec: gpdb,0.34353462376090743
func_dec: wsize,0.343463293234855
func_dec: fe,0.34314656237854235
func_dec: sum,0.3430087574050345
func_dec: kthread,0.34287742010530753
func_dec: receive,0.34273493901647994
func_dec: regs,0.3423193112275741
func_dec: nmi,0.3421510114602259
func_dec: bit,0.3420388157576731
func_dec: application,0.3419288753513813
func_dec: garp,0.3419288753513813
func_dec: snic,0.3417178072626566
func_dec: smscore,0.3416176507463349
func_dec: mst,0.34161197113909647
func_dec: smac,0.34127975629871
func_dec: select,0.341230054314915
func_dec: msp,0.34056424760528287
func_dec: transfer,0.3402366130106447
func_dec: qla2x00,0.33921636826129536
func_dec: vram,0.33907047362325987
func_dec: constraint,0.3390690031598875
func_dec: pTxTS,0.3390139448601696
func_dec: TsStartAddBaProcess,0.3390139448601696
func_dec: orphan,0.3387847197466111
func_dec: node,0.3387641465444671
func_dec: origin,0.33854003793936516
func_dec: uprobe,0.33817363893844377
func_dec: CPRM,0.33798546877885016
func_dec: tblAddr,0.33767733226911206
func_dec: tblDataHi,0.33767733226911206
func_dec: est,0.3374595970670818
func_dec: pmdp,0.33730215102382805
func_dec: pn533,0.33710333481317917
func_dec: may,0.3367187584642878
func_dec: cx25840,0.3366659701681601
func_dec: HUF,0.33630554542883895
func_dec: algos,0.33594917061579754
func_dec: skl,0.33561711254275045
func_dec: preferred,0.3350284490070837
func_dec: EXhalbtc8723b1ant,0.33466275557385344
func_dec: nopm,0.3346449941078298
func_dec: framebuffer,0.33398829074325936
func_dec: lsmrule,0.33368461223691825
func_dec: device,0.3335090329424255
func_dec: cqcntxt,0.3331854513639942
func_dec: dat,0.3326246573877834
func_dec: mp,0.3325460551257176
func_dec: os,0.3322001391968615
func_dec: dig,0.3316978442956711
func_dec: silence,0.33168474258429337
func_dec: ppp,0.33164915781463966
func_dec: autorelease,0.3313698033326003
func_dec: ke,0.3313698033326003
func_dec: qla2xxx,0.3312725568807882
func_dec: iobase,0.3309264080249654
func_dec: fmdev,0.3308827677514746
func_dec: failure,0.33069627191464174
func_dec: amdtp,0.3304915384598383
func_dec: dp,0.3302810804323157
func_dec: kernfs,0.32938566650868295
func_dec: crc,0.32935759780213275
func_dec: clkdev,0.32919975133462653
func_dec: attempt,0.3287118491924801
func_dec: ftl,0.32842198680904333
func_dec: rxmeta,0.3277221258121122
func_dec: p80211skb,0.3277221258121122
func_dec: exist,0.3272682327175298
func_dec: FSE,0.3266542578949325
func_dec: abort,0.3264980674093266
func_dec: a,0.3263995150550003
func_dec: RFPath,0.32633197675591336
func_dec: rh,0.3259125219413558
func_dec: operation,0.3256811743233922
func_dec: decoder,0.32509484586513965
func_dec: demux,0.3249854399328201
func_dec: mcasts,0.32481294970623487
func_dec: detection,0.3247094620042825
func_dec: DP,0.3246491769715467
func_dec: bkey,0.32452774763273967
func_dec: segbuf,0.32378211184937655
func_dec: am,0.32375576292704067
func_dec: lockup,0.32337673545779566
func_dec: pre,0.32311008013619724
func_dec: fwrt,0.3223670435948255
func_dec: mpi,0.32236073448880087
func_dec: stamp,0.3221516002392814
func_dec: mask,0.3219639490334555
func_dec: outp,0.3216427954204237
func_dec: prandom,0.3213384218450045
func_dec: securedisplay,0.32123804412512136
func_dec: emulate,0.3211205495130648
func_dec: dimm,0.32093994851329405
func_dec: fillattr,0.32054499095753486
func_dec: ddma,0.3203922354091027
func_dec: 504430,0.3202351786722393
func_dec: setpause,0.3199341156511221
func_dec: devh,0.3199341156511221
func_dec: syncobj,0.3199221434888009
func_dec: list,0.31989640391357693
func_dec: mode,0.319690852719004
func_dec: share,0.3194166278041867
func_dec: sm,0.31936730370181676
func_dec: timeline,0.31906655683249674
func_dec: enum,0.31846569862480856
func_dec: handling,0.31834140214612705
